Kabupaten/Kota,,,
,Proyeksi Penduduk Provinsi Bali Menurut Kabupaten/Kota dan Jenis Kelamin (Ribu Jiwa),,
,Laki-laki,Perempuan,Laki-Laki + Perempuan
,2023,2023,2023
Kab. Jembrana,161.99,161.47,323.46
Kab. Tabanan,232.49,233.64,466.13
Kab. Badung,282.36,280.97,563.33
Kab. Gianyar,261.35,262.68,524.03
Kab. Klungkung,104.66,104.04,208.71
Kab. Bangli,131.55,129.84,261.38
Kab. Karangasem,251.07,248.88,499.95
Kab. Buleleng,406.2,402.68,808.87
Kota Denpasar,378.07,370.33,748.4
Provinsi Bali,2209.74,2194.53,4404.26
